,Name,Campsite,Address
96,Eta,巴歌浪藝術園區,台東縣長濱鄉樟原村大峰峰15號
97,Eta,阿里山 迷糊露營區,嘉義縣阿里山鄉樂野村2鄰樂野68號
98,Eta,吉恩典山丘,嘉義縣水上鄉三界埔段532-4地號
99,Eta,美栗民宿露營區,嘉義縣番路鄉公興村下路14號
100,Eta,美淞露營地,嘉義縣水上鄉
101,Eta,三寶山露營區,嘉義縣番路鄉大湖村紅筆仔壽2之8號
102,Eta,草地兄弟,嘉義縣番路鄉大湖村2鄰17附1號
103,Eta,汪爸露營區,嘉義縣阿里山鄉樂野村
104,Eta,鵲子山露營區,宜蘭縣頭城鎮北宜路二段71巷51號
105,Eta,飛亞蘭露營區,宜蘭縣大同鄉茂安村泰雅路五段
106,Eta,舊寮之心,宜蘭縣冬山鄉中山村舊寮路131巷37號
107,Eta,橘子園露營區,宜蘭縣礁溪鄉白石腳路135-1號
108,Eta,山谷星空露營區,宜蘭縣三星鄉泰雅一路301巷71號
109,Eta,石頭屋蝴蝶農場,宜蘭縣冬山鄉梅林路971號
110,Eta,粗坑露營區,宜蘭縣員山鄉粗坑路151號
111,Eta,Uwah露營區,宜蘭縣大同鄉寒溪村華興巷42-18號
112,Eta,無憂花露營區,宜蘭縣礁溪鄉白石腳路157巷88號
113,Eta,又想露營趣,宜蘭縣冬山鄉照安一路360-1號
114,Eta,大羅蘭,新北市烏來區大羅蘭七號
115,Eta,福山達卡露營區,新北市烏來區大羅蘭19之1號
116,Eta,十分自然露營區,新北市平溪區靜安路三段391號
117,Eta,布魯的家,新竹縣五峰鄉桃山村11鄰197-7號
118,Eta,阿貴營地,新竹縣五峰鄉大隘村23鄰466號
119,Eta,愛喜露營區,新竹縣尖石鄉梅花九鄰梅花242號
120,Eta,愛上比來,新竹縣五峰鄉
121,Eta,北得拉曼露營區,新竹縣尖石鄉
122,Eta,巴棍民宿露營區,新竹縣五峰鄉桃山村18鄰311-2號
123,Eta,巴棍杉林,新竹縣五峰鄉茅圃產業道路
124,Eta,北埔星月天空露營區,新竹縣北埔鄉大湖村下大湖12鄰22-30號
125,Eta,白蘭時光,新竹縣五峰鄉
126,Eta,巴斯瓜藍露營區,新竹縣五峰鄉桃山村18鄰312號
127,Eta,巴萬五峰,新竹縣五峰鄉205-6號
128,Eta,穿山甲咖啡露營休閒莊園,新竹縣北埔鄉南埔村番婆坑8-22號
129,Eta,清心忘憂露營區,新竹縣尖石鄉義興村馬胎107-2號
130,Eta,清悠忘我露營區,新竹縣尖石鄉新樂村
131,Eta,大東田露營區,新竹縣五峰鄉花園村6鄰121之5號
132,Eta,大湖山林,新竹縣北埔鄉大湖村三鄰上大湖28之8號
133,Eta,大山背小曠野營地,新竹縣橫山鄉豐鄉村大山背5鄰52號
134,Eta,大山北月,新竹縣橫山鄉豐鄉村大山背5鄰80號
135,Eta,飛仙居露營區,新竹縣五峰鄉桃山村
136,Eta,楓櫻杉林,新竹縣五峰鄉花園村
137,Eta,格步霧露營區,新竹縣五峰鄉桃山村
138,Eta,谷漢露營區,新竹縣尖石鄉嘉樂村14鄰160之1號
139,Eta,閣馬雅農場,新竹縣尖石鄉
140,Eta,高山寨露營區,新竹縣五峰鄉花園村四鄰78之1號
141,Eta,鬼澤157,新竹縣五峰鄉157號
142,Eta,航道休閒露營區,新竹縣尖石鄉新樂村7鄰水田185號
143,Eta,花湖美地,新竹縣五峰鄉花園村9鄰196號
144,Eta,豪祥露營區,新竹縣尖石鄉錦屏村7鄰那羅25之1號
145,Eta,迦得營地,新竹縣尖石鄉
146,Eta,靜觀露營區,新竹縣五峰鄉桃山村18鄰311-30號
147,Eta,嘉揚露營區,新竹縣五峰鄉
148,Eta,竹鷹露營區,新竹縣五峰鄉
149,Eta,靜月居,新竹縣峨眉鄉湖光村十二寮12鄰6-5號
150,Eta,露露米露營區,新竹縣五峰鄉竹林村
151,Eta,老牛露營區,新竹縣五峰鄉桃山村18鄰白蘭312-3號
152,Eta,旅人山泉農場,新竹縣北埔鄉
153,Eta,戀上瓜麗,新竹縣五峰鄉320-3號
154,Eta,司馬庫斯拉娃露營區,新竹縣尖石鄉16號
155,Eta,馬丘比丘露營區,新竹縣五峰鄉
156,Eta,明當家園,新竹縣尖石鄉新樂村水田7鄰190-1號
157,Eta,梅后蔓瀑布露營區,新竹縣五峰鄉
158,Eta,Mspat露營區,新竹縣尖石鄉十鄰145號
159,Eta,馬薩保耐露營區,新竹縣五峰鄉5鄰和平165號
160,Eta,梅村露營區,新竹縣尖石鄉185號
161,Eta,馬武督露營趣,新竹縣關西鎮
162,Eta,馬雅竹軒,新竹縣五峰鄉305號
163,Eta,牧羊小豆子,新竹縣五峰鄉竹林村4鄰93號
164,Eta,Payan露營區,新竹縣尖石鄉新樂村
165,Eta,山的那一邊,新竹縣五峰鄉桃山村18鄰311-37號
166,Eta,石福山莊,新竹縣關西鎮
167,Eta,仙湖露營區,新竹縣五峰鄉大隘村10鄰194號
168,Eta,生活原鄉,新竹縣關西鎮9鄰96-3號
169,Eta,霞喀羅,新竹縣五峰鄉村
170,Eta,斯卡嵐慕,新竹縣五峰鄉
171,Eta,星空下露營區,新竹縣五峰鄉
172,Eta,星空夜語,新竹縣五峰鄉
173,Eta,小米露營區,新竹縣五峰鄉竹林村4鄰忠興91之5號
174,Eta,司馬庫斯舊部落營地,新竹縣尖石鄉
175,Eta,斯摩亞營地,新竹縣關西鎮10鄰106號
176,Eta,石牛山露營區,新竹縣關西鎮
177,Eta,杉嵐營地,新竹縣五峰鄉竹林村1鄰羅山23之2號
178,Eta,相思園露營區,新竹縣尖石鄉錦屏村2鄰比麟96號
179,Eta,小途溪伴,新竹縣關西鎮錦山191之1號
180,Eta,星月橫山,新竹縣橫山鄉頭份林1-8號
181,Eta,山野悠活的熊山露營區,新竹縣尖石鄉錦屏段5地號
182,Eta,天湖露營區,新竹縣五峰鄉花園村10鄰天湖218-11號
183,Eta,彩虹喬露營區,新竹縣尖石鄉義興村2鄰59-3號
184,Eta,天景露營區,新竹縣五峰鄉花園村10鄰天湖205號
185,Eta,鐵露局露營區,新竹縣五峰鄉天湖221-5號
186,Eta,田埔露營地,新竹縣尖石鄉
187,Eta,天山農場,新竹縣五峰鄉桃山村20鄰民石353之5號
188,Eta,桃喜悠境休閒莊園,新竹縣五峰鄉桃山村清泉209-36號
189,Eta,蓪草花園營地,新竹縣五峰鄉花園村
190,Eta,舞之海露營區,新竹縣五峰鄉
191,Eta,微居解秘,新竹縣關西鎮六曲窩188-8號
192,Eta,蔚嵐青青,新竹縣峨眉鄉七星村六寮80號
193,Eta,雪花的露營區,新竹縣尖石鄉梅花村9鄰農路
194,Eta,喜樂露營區,新竹縣尖石鄉義興村馬胎七鄰22-9號
195,Eta,閑情園,新竹縣尖石鄉梅花村
196,Eta,星墅露營窩,新竹縣關西鎮錦山里9鄰錦山99-9號
197,Eta,尤巴士露營區,新竹縣五峰鄉桃山村
198,Eta,雲淡風清,新竹縣尖石鄉
199,Eta,雲頂天湖露營區,新竹縣五峰鄉
200,Eta,悅光綠境,新竹縣五峰鄉白蘭311-17號
201,Eta,一沐露營區,新竹縣橫山鄉
202,Eta,一抹河,新竹縣五峰鄉大隘村茅圃352-1號
203,Eta,雅娜營地,新竹縣五峰鄉
204,Eta,有你真好阿嬌,新竹縣五峰鄉竹林村2鄰37號
205,Eta,營墅風晴露營區,新竹縣關西鎮錦山里9鄰96號
206,Eta,比固花園,桃園市復興區高義村
207,Eta,北戶露營區,桃園市復興區武道能敢道路地號
208,Eta,夏蝶冬櫻山谷園地-保羅先生,桃園市復興區高義里高義蘭36-1號
209,Eta,得拉互,桃園市復興區華陵里巴崚8鄰55之2號
210,Eta,飛督努露營區,桃園市復興區霞雲里5鄰成福路559號
211,Eta,古渡園地,桃園市復興區華陵里中心路86巷11號
212,Eta,嘎色鬧露營區,桃園市復興區奎輝里8鄰嘎色鬧23號
213,Eta,HOLA露營區,桃園市復興區羅浮里七鄰高坡16號
214,Eta,和平橋露營區,桃園市復興區
215,Eta,角板山露營區,桃園市復興區
216,Eta,高崗露營區,桃園市復興區武崙路33號
217,Eta,庫司景觀露營區,桃園市復興區
218,Eta,利河伯休閒農園露營區,桃園市復興區三光里爺亨段410地號
219,Eta,樂見山,桃園市復興區
220,Eta,露薩休閒露營區,桃園市復興區三光里爺亨35-1號
221,Eta,木河谷,桃園市復興區
222,Eta,米利漾,桃園市復興區2號
223,Eta,那結山露營區,桃園市復興區奎輝產業道路
224,Eta,歐陽莊園,桃園市復興區高義蘭道路65之7號
225,Eta,培雅境休閒露營區,桃園市復興區羅浮里羅馬路一段301之6號
226,Eta,清清露營區,桃園市復興區華陵里8鄰40號
227,Eta,蜻蜓露營區-嘎色鬧,桃園市復興區奎輝里嘎色鬧7鄰2號
228,Eta,順花露營區,桃園市復興區武道能敢道路9號
229,Eta,山豬王露營區,桃園市復興區7鄰1之12號
230,Eta,鑫彩霞谷露營區,桃園市復興區
231,Eta,松野,桃園市復興區10-16號
232,Eta,鑫園馬告露營區,桃園市復興區羅馬路六段36號
233,Eta,杉與山露營區,桃園市復興區中心路86巷
