,base_idx,Campsite,f_idx,f_site,f_ratio,j_idx,j_site,j_ratio,s_idx,s_site,s_ratio
886,177,杉嵐營地,1237,杉嵐營地,100.0,1237,杉嵐營地,1.0,1237,杉嵐營地,0.9999999999999998
891,178,相思園露營區,1171,相思園露營區,100.0,1171,相思園露營區,1.0,1171,相思園露營區,1.0000000000000002
911,182,天湖露營區,199,雲頂天湖露營區,100.0,1167,天湖露營區,1.0,1167,天湖露營區,0.9999999999999998
912,182,天湖露營區,1150,戀戀天湖露營區,100.0,199,雲頂天湖露營區,0.6666666666666666,199,雲頂天湖露營區,0.816496580927726
913,182,天湖露營區,1163,漫步天湖露營區(狩獵帳),100.0,1150,戀戀天湖露營區,0.6666666666666666,1150,戀戀天湖露營區,0.816496580927726
914,182,天湖露營區,1167,天湖露營區,100.0,1766,天湖秘境露營區,0.6666666666666666,1766,天湖秘境露營區,0.816496580927726
926,185,鐵露局露營區,1250,鐵露局露營區,100.0,1250,鐵露局露營區,1.0,1250,鐵露局露營區,1.0000000000000002
966,193,雪花的露營區,1253,雪花的露營區,100.0,1253,雪花的露營區,1.0,1253,雪花的露營區,1.0000000000000002
995,199,雲頂天湖露營區,182,天湖露營區,100.0,199,雲頂天湖露營區,1.0,199,雲頂天湖露營區,1.0000000000000002
997,199,雲頂天湖露營區,1167,天湖露營區,100.0,1167,天湖露營區,0.6666666666666666,1167,天湖露營區,0.816496580927726
1026,205,營墅風晴露營區,1203,營墅風晴露營區,100.0,1203,營墅風晴露營區,1.0,1203,營墅風晴露營區,1.0000000000000002
1031,206,比固花園,1292,比固花園,100.0,1292,比固花園,1.0,1292,比固花園,0.9999999999999998
1056,211,古渡園地,1320,古渡園地,100.0,1320,古渡園地,1.0,1320,古渡園地,0.9999999999999998
1071,214,和平橋露營區,1318,和平橋露營區,100.0,1318,和平橋露營區,1.0,1318,和平橋露營區,1.0000000000000002
1086,217,庫司景觀露營區,1272,Kusu 庫司景觀露營區,100.0,1272,Kusu 庫司景觀露營區,0.6,1272,Kusu 庫司景觀露營區,0.7745966692414834
1091,218,利河伯休閒農園露營區,1285,利河伯休閒農園露營區,100.0,1285,利河伯休閒農園露營區,1.0,1285,利河伯休閒農園露營區,1.0
1106,221,木河谷,1316,木河谷營地,100.0,1316,木河谷營地,0.6666666666666666,1316,木河谷營地,0.816496580927726
1121,224,歐陽莊園,1304,歐陽莊園,100.0,1304,歐陽莊園,1.0,1304,歐陽莊園,0.9999999999999998
1126,225,培雅境休閒露營區,1307,培雅境休閒露營區,100.0,1307,培雅境休閒露營區,1.0,1307,培雅境休閒露營區,1.0000000000000002
1131,226,清清露營區,1332,清清露營區,100.0,1332,清清露營區,1.0,1332,清清露營區,0.9999999999999998
1146,229,山豬王露營區,1341,山豬王露營區,100.0,1341,山豬王露營區,1.0,1341,山豬王露營區,1.0000000000000002
1176,235,桃子菇菇休閒農莊,1322,桃園復興鄉桃子菇菇休閒農莊,100.0,1322,桃園復興鄉桃子菇菇休閒農莊,0.5714285714285714,1322,桃園復興鄉桃子菇菇休閒農莊,0.7559289460184544
1181,236,哇吶訕露營區,1306,哇吶訕露營區,100.0,1306,哇吶訕露營區,1.0,1306,哇吶訕露營區,1.0000000000000002
1191,238,戀戀雅渡農場,1340,戀戀雅渡農場,100.0,1340,戀戀雅渡農場,1.0,1340,戀戀雅渡農場,0.9999999999999998
1206,241,納格林野營,1395,納格林野營,100.0,1395,納格林野營,1.0,1395,納格林野營,1.0000000000000002
1226,245,按個讚露營區,879,玉讚露營區,88.88888888888889,879,玉讚露營區,0.5714285714285714,879,玉讚露營區,0.7302967433402215
1281,256,大南之美露營區,1511,苗栗大湖大南之美露營區,100.0,1511,苗栗大湖大南之美露營區,0.6,1511,苗栗大湖大南之美露營區,0.7745966692414834
1316,263,逢雲露營區,1547,逢雲露營區,100.0,1547,逢雲露營區,1.0,1547,逢雲露營區,0.9999999999999998
1321,264,古道秘境露營區,1480,古道秘境露營區,100.0,1480,古道秘境露營區,1.0,1480,古道秘境露營區,1.0000000000000002
1322,264,古道秘境露營區,1497,秘境露營區,100.0,1497,秘境露營區,0.6666666666666666,1497,秘境露營區,0.816496580927726
1336,267,高熊卡露營區,1527,高熊卡露營區,100.0,1527,高熊卡露營區,1.0,1527,高熊卡露營區,0.9999999999999998
1341,268,快樂露營區,713,月媽媽快樂露營區,100.0,1546,快樂露營區,1.0,1546,快樂露營區,0.9999999999999998
1342,268,快樂露營區,738,三姊快樂露營區,100.0,1455,森日快樂露營區,0.6666666666666666,1455,森日快樂露營區,0.816496580927726
1346,269,好地方露營區,1518,天狗好地方露營區,100.0,1518,天狗好地方露營區,0.75,1518,天狗好地方露營區,0.8660254037844388
1401,280,開礦露營區,1549,開礦露營區,100.0,1549,開礦露營區,1.0,1549,開礦露營區,0.9999999999999998
1411,282,樂活露營區,1590,上山樂活露營區,100.0,1590,上山樂活露營區,0.6666666666666666,1590,上山樂活露營區,0.816496580927726
1421,284,蘿菈松靜露營區,1533,苗栗南庄 蘿菈松靜露營區,100.0,1533,苗栗南庄 蘿菈松靜露營區,0.7,1533,苗栗南庄 蘿菈松靜露營區,0.8366600265340755
1486,297,南庄河畔露營區,1033,河畔露營區,100.0,1033,河畔露營區,0.6666666666666666,1033,河畔露營區,0.816496580927726
1501,300,巧遇露營區,1504,巧遇露營區,100.0,1504,巧遇露營區,1.0,1504,巧遇露營區,0.9999999999999998
1526,305,上巴爺爺露營區,1476,上巴爺爺露營區,100.0,1476,上巴爺爺露營區,1.0,1476,上巴爺爺露營區,1.0000000000000002
1536,307,山峰點伙露營區,1515,山峰點伙露營區,100.0,1515,山峰點伙露營區,1.0,1515,山峰點伙露營區,1.0000000000000002
1646,329,武嵐露營區,1484,武嵐露營區,100.0,1484,武嵐露營區,1.0,1484,武嵐露營區,0.9999999999999998
1701,340,遊牧民族露營區,1524,遊牧民族露營區,100.0,1524,遊牧民族露營區,1.0,1524,遊牧民族露營區,1.0000000000000002
