,idx,fk,ratio
0,0,0,0.9999999999999998
1,0,1,0.0
2,0,2,0.0
3,0,3,0.0
4,0,4,0.0
5,1,1,1.0
6,1,0,0.0
7,1,2,0.0
8,1,3,0.0
9,1,4,0.0
10,2,2,0.9999999999999998
11,2,9,0.4999999999999999
12,2,16,0.4999999999999999
13,2,51,0.4999999999999999
14,2,52,0.4999999999999999
15,3,3,0.9999999999999999
16,3,79,0.5163977794943223
17,3,528,0.5163977794943223
18,3,33,0.3162277660168379
19,3,34,0.3162277660168379
20,4,4,1.0000000000000002
21,4,395,0.6666666666666669
22,4,100,0.408248290463863
23,4,145,0.408248290463863
24,4,186,0.408248290463863
25,5,5,1.0000000000000002
26,5,39,0.3333333333333334
27,5,1585,0.3333333333333334
28,5,1828,0.3333333333333334
29,5,69,0.2886751345948129
30,6,6,1.0000000000000002
31,6,1099,0.408248290463863
32,6,1209,0.3333333333333334
33,6,1740,0.3333333333333334
34,6,1763,0.3333333333333334
35,7,7,0.9999999999999998
36,7,609,0.408248290463863
37,7,49,0.3162277660168379
38,7,0,0.0
39,7,1,0.0
40,8,8,0.9999999999999998
41,8,736,0.408248290463863
42,8,1605,0.35355339059327373
43,8,418,0.2886751345948129
44,8,0,0.0
45,9,9,0.9999999999999998
46,9,2,0.4999999999999999
47,9,16,0.4999999999999999
48,9,51,0.4999999999999999
49,9,52,0.4999999999999999
50,10,10,1.0000000000000002
51,10,0,0.0
52,10,1,0.0
53,10,2,0.0
54,10,3,0.0
55,11,11,0.9999999999999998
56,11,40,0.4999999999999999
57,11,42,0.4999999999999999
58,11,53,0.4999999999999999
59,11,403,0.4999999999999999
60,12,12,0.9999999999999999
61,12,412,0.9128709291752769
62,12,916,0.5163977794943223
63,12,1919,0.5163977794943223
64,12,1935,0.5163977794943223
65,13,13,1.0000000000000002
66,13,471,1.0000000000000002
67,13,879,0.5477225575051662
68,13,1364,0.5477225575051662
69,13,245,0.5000000000000001
70,14,14,0.9999999999999998
71,14,402,0.816496580927726
72,14,17,0.4999999999999999
73,14,81,0.4999999999999999
74,14,139,0.4999999999999999
75,15,15,0.9999999999999998
76,15,401,0.4999999999999999
77,15,327,0.408248290463863
78,15,331,0.3162277660168379
79,15,0,0.0
80,16,16,0.9999999999999998
81,16,2,0.4999999999999999
82,16,9,0.4999999999999999
83,16,51,0.4999999999999999
84,16,52,0.4999999999999999
85,17,17,0.9999999999999998
86,17,14,0.4999999999999999
87,17,81,0.4999999999999999
88,17,139,0.4999999999999999
89,17,187,0.4999999999999999
90,18,18,1.0000000000000002
91,18,220,0.6666666666666669
92,18,1252,0.6666666666666669
93,18,1707,0.6666666666666669
94,18,985,0.5773502691896258
95,19,19,0.9999999999999998
96,19,342,0.4999999999999999
97,19,459,0.35355339059327373
98,19,465,0.3162277660168379
99,19,0,0.0
100,20,20,1.0000000000000002
101,20,1337,0.5773502691896258
102,20,1824,0.5773502691896258
103,20,582,0.5163977794943223
104,20,1488,0.4714045207910318
105,21,21,1.0
106,21,450,1.0
107,21,2,0.35355339059327373
108,21,9,0.35355339059327373
109,21,16,0.35355339059327373
110,22,22,0.9999999999999999
111,22,1922,0.5163977794943223
112,22,1553,0.4472135954999579
113,22,852,0.36514837167011077
114,22,2,0.3162277660168379
115,23,23,1.0
116,23,33,0.35355339059327373
117,23,34,0.35355339059327373
118,23,41,0.35355339059327373
119,23,50,0.35355339059327373
120,24,24,0.9999999999999998
121,24,25,0.4999999999999999
122,24,608,0.4999999999999999
123,24,804,0.4999999999999999
124,24,1497,0.4999999999999999
125,25,25,0.9999999999999998
126,25,24,0.4999999999999999
127,25,57,0.4999999999999999
128,25,362,0.408248290463863
129,25,437,0.408248290463863
130,26,26,1.0
131,26,0,0.0
132,26,1,0.0
133,26,2,0.0
134,26,3,0.0
135,27,27,1.0
136,27,354,0.7071067811865475
137,27,1399,0.7071067811865475
138,27,0,0.0
139,27,1,0.0
140,28,28,1.0
141,28,1939,0.7071067811865475
142,28,1607,0.6708203932499369
143,28,469,0.6666666666666666
144,28,84,0.5773502691896258
145,29,29,1.0
146,29,470,1.0
147,29,2,0.35355339059327373
148,29,9,0.35355339059327373
149,29,16,0.35355339059327373
150,30,30,1.0000000000000002
151,30,468,1.0000000000000002
152,30,150,0.6666666666666669
153,30,407,0.6666666666666669
154,30,823,0.6666666666666669
155,31,31,0.9999999999999998
156,31,0,0.0
157,31,1,0.0
158,31,2,0.0
159,31,3,0.0
160,32,32,1.0000000000000002
161,32,2,0.408248290463863
162,32,9,0.408248290463863
163,32,16,0.408248290463863
164,32,51,0.408248290463863
165,33,33,0.9999999999999998
166,33,34,0.4999999999999999
167,33,41,0.4999999999999999
168,33,50,0.4999999999999999
169,33,87,0.4999999999999999
170,34,34,0.9999999999999998
171,34,33,0.4999999999999999
172,34,41,0.4999999999999999
173,34,50,0.4999999999999999
174,34,87,0.4999999999999999
175,35,35,1.0
176,35,377,0.5773502691896258
177,35,408,0.5303300858899106
178,35,74,0.5
179,35,372,0.3779644730092272
180,36,36,1.0
181,36,0,0.0
182,36,1,0.0
183,36,2,0.0
184,36,3,0.0
185,37,37,1.0
186,37,432,0.7071067811865475
187,37,0,0.0
188,37,1,0.0
189,37,2,0.0
190,38,38,0.9999999999999998
191,38,0,0.0
192,38,1,0.0
193,38,2,0.0
194,38,3,0.0
195,39,39,1.0000000000000002
196,39,1585,1.0000000000000002
197,39,5,0.3333333333333334
198,39,1828,0.3333333333333334
199,39,69,0.2886751345948129
200,40,40,0.9999999999999998
201,40,408,0.6249999999999999
202,40,11,0.4999999999999999
203,40,42,0.4999999999999999
204,40,53,0.4999999999999999
205,41,41,0.9999999999999998
206,41,33,0.4999999999999999
207,41,34,0.4999999999999999
208,41,50,0.4999999999999999
209,41,87,0.4999999999999999
210,42,42,0.9999999999999998
211,42,388,0.816496580927726
212,42,11,0.4999999999999999
213,42,40,0.4999999999999999
214,42,53,0.4999999999999999
215,43,43,0.9999999999999998
216,43,54,0.408248290463863
217,43,785,0.408248290463863
218,43,1229,0.408248290463863
219,43,1911,0.408248290463863
220,44,44,1.0
221,44,0,0.0
222,44,1,0.0
223,44,2,0.0
224,44,3,0.0
225,45,45,0.9999999999999998
226,45,912,0.35355339059327373
227,45,1542,0.35355339059327373
228,45,0,0.0
229,45,1,0.0
230,46,46,1.0
231,46,0,0.0
232,46,1,0.0
233,46,2,0.0
234,46,3,0.0
235,47,47,0.9999999999999998
236,47,637,0.4999999999999999
237,47,1634,0.3162277660168379
238,47,0,0.0
239,47,1,0.0
240,48,48,0.9999999999999998
241,48,0,0.0
242,48,1,0.0
243,48,2,0.0
244,48,3,0.0
245,49,49,0.9999999999999999
246,49,1485,0.5477225575051662
247,49,632,0.4472135954999579
248,49,7,0.3162277660168379
249,49,816,0.3162277660168379
250,50,50,0.9999999999999998
251,50,33,0.4999999999999999
252,50,34,0.4999999999999999
253,50,41,0.4999999999999999
254,50,87,0.4999999999999999
255,51,51,0.9999999999999998
256,51,2,0.4999999999999999
257,51,9,0.4999999999999999
258,51,16,0.4999999999999999
259,51,52,0.4999999999999999
260,52,52,0.9999999999999998
261,52,2,0.4999999999999999
262,52,9,0.4999999999999999
263,52,16,0.4999999999999999
264,52,51,0.4999999999999999
265,53,53,0.9999999999999998
266,53,11,0.4999999999999999
267,53,40,0.4999999999999999
268,53,42,0.4999999999999999
269,53,403,0.4999999999999999
270,54,54,1.0000000000000002
271,54,43,0.408248290463863
272,54,57,0.408248290463863
273,54,393,0.3333333333333334
274,54,785,0.3333333333333334
275,55,55,1.0
276,55,1589,0.5773502691896258
277,55,0,0.0
278,55,1,0.0
279,55,2,0.0
280,56,56,0.9999999999999998
281,56,132,0.4999999999999999
282,56,694,0.4999999999999999
283,56,58,0.408248290463863
284,56,992,0.408248290463863
285,57,57,0.9999999999999998
286,57,25,0.4999999999999999
287,57,54,0.408248290463863
288,57,362,0.408248290463863
289,57,393,0.408248290463863
290,58,58,1.0000000000000002
291,58,992,0.6666666666666669
292,58,949,0.5773502691896258
293,58,392,0.4364357804719848
294,58,33,0.408248290463863
295,59,59,0.9999999999999998
296,59,2,0.4999999999999999
297,59,9,0.4999999999999999
298,59,16,0.4999999999999999
299,59,51,0.4999999999999999
300,60,60,1.0
301,60,99,0.5773502691896258
302,60,122,0.5773502691896258
303,60,283,0.5773502691896258
304,60,247,0.5
305,61,61,1.0000000000000002
306,61,65,0.408248290463863
307,61,788,0.408248290463863
308,61,1030,0.408248290463863
309,61,681,0.3333333333333334
310,62,62,0.9999999999999998
311,62,2,0.4999999999999999
312,62,9,0.4999999999999999
313,62,16,0.4999999999999999
314,62,51,0.4999999999999999
315,63,63,1.0000000000000002
316,63,436,0.5773502691896258
317,63,2,0.408248290463863
318,63,9,0.408248290463863
319,63,16,0.408248290463863
320,64,64,1.0000000000000002
321,64,118,0.408248290463863
322,64,175,0.408248290463863
323,64,177,0.408248290463863
324,64,211,0.408248290463863
325,65,65,0.9999999999999998
326,65,788,0.4999999999999999
327,65,1030,0.4999999999999999
328,65,61,0.408248290463863
329,65,681,0.408248290463863
330,66,66,1.0
331,66,0,0.0
332,66,1,0.0
333,66,2,0.0
334,66,3,0.0
335,67,67,1.0
336,67,461,0.6708203932499369
337,67,1233,0.5773502691896258
338,67,196,0.2886751345948129
339,67,791,0.2886751345948129
340,68,68,1.0000000000000002
341,68,1164,0.6666666666666669
342,68,1259,0.6666666666666669
343,68,1750,0.6666666666666669
344,68,100,0.408248290463863
345,69,69,1.0
346,69,426,1.0
347,69,254,0.5773502691896258
348,69,723,0.5
349,69,1758,0.5
350,70,70,1.0000000000000002
351,70,457,1.0000000000000002
352,70,224,0.408248290463863
353,70,503,0.408248290463863
354,70,711,0.408248290463863
355,71,71,0.9999999999999998
356,71,0,0.0
357,71,1,0.0
358,71,2,0.0
359,71,3,0.0
360,72,72,0.9999999999999998
361,72,0,0.0
362,72,1,0.0
363,72,2,0.0
364,72,3,0.0
365,73,73,0.9999999999999998
366,73,2,0.4999999999999999
367,73,9,0.4999999999999999
368,73,16,0.4999999999999999
369,73,51,0.4999999999999999
370,74,74,1.0
371,74,35,0.5
372,74,100,0.35355339059327373
373,74,145,0.35355339059327373
374,74,186,0.35355339059327373
375,75,75,0.9999999999999998
376,75,990,0.7071067811865475
377,75,1358,0.408248290463863
378,75,0,0.0
379,75,1,0.0
380,76,76,1.0000000000000002
381,76,0,0.0
382,76,1,0.0
383,76,2,0.0
384,76,3,0.0
385,77,77,1.0
386,77,0,0.0
387,77,1,0.0
388,77,2,0.0
389,77,3,0.0
390,78,78,1.0000000000000002
391,78,539,1.0000000000000002
392,78,510,0.6666666666666669
393,78,33,0.408248290463863
394,78,34,0.408248290463863
395,79,79,1.0000000000000002
396,79,528,1.0000000000000002
397,79,3,0.5163977794943223
398,79,33,0.408248290463863
399,79,34,0.408248290463863
400,80,80,1.0000000000000002
401,80,524,1.0000000000000002
402,80,117,0.6666666666666669
403,80,1650,0.6666666666666669
404,80,1884,0.5773502691896258
405,81,81,0.9999999999999998
406,81,14,0.4999999999999999
407,81,17,0.4999999999999999
408,81,139,0.4999999999999999
409,81,187,0.4999999999999999
410,82,82,1.0000000000000002
411,82,514,1.0000000000000002
412,82,33,0.408248290463863
413,82,34,0.408248290463863
414,82,41,0.408248290463863
415,83,83,1.0000000000000002
416,83,519,1.0000000000000002
417,83,1644,0.5773502691896258
418,83,88,0.408248290463863
419,83,1112,0.408248290463863
420,84,84,1.0000000000000002
421,84,402,0.6666666666666669
422,84,501,0.6666666666666669
423,84,848,0.6666666666666669
424,84,1293,0.6666666666666669
425,85,85,1.0000000000000002
426,85,592,1.0000000000000002
427,85,99,0.3333333333333334
428,85,122,0.3333333333333334
429,85,283,0.3333333333333334
430,86,86,1.0
431,86,493,1.0
432,86,118,0.35355339059327373
433,86,175,0.35355339059327373
434,86,177,0.35355339059327373
435,87,87,0.9999999999999998
436,87,584,0.9999999999999998
437,87,33,0.4999999999999999
438,87,34,0.4999999999999999
439,87,41,0.4999999999999999
440,88,88,0.9999999999999998
441,88,1112,0.4999999999999999
442,88,83,0.408248290463863
443,88,96,0.408248290463863
444,88,519,0.408248290463863
445,89,89,0.9999999999999998
446,89,0,0.0
447,89,1,0.0
448,89,2,0.0
449,89,3,0.0
450,90,90,1.0
451,90,532,0.7071067811865475
452,90,0,0.0
453,90,1,0.0
454,90,2,0.0
455,91,91,0.9999999999999998
456,91,0,0.0
457,91,1,0.0
458,91,2,0.0
459,91,3,0.0
460,92,92,1.0
461,92,1576,0.25
462,92,1220,0.22360679774997896
463,92,1260,0.20412414523193154
464,92,1182,0.16666666666666666
465,93,93,0.9999999999999998
466,93,527,0.7071067811865475
467,93,0,0.0
468,93,1,0.0
469,93,2,0.0
470,94,94,0.9999999999999998
471,94,540,0.816496580927726
472,94,531,0.408248290463863
473,94,731,0.35355339059327373
474,94,1335,0.35355339059327373
475,95,95,0.9999999999999998
476,95,183,0.408248290463863
477,95,365,0.408248290463863
478,95,536,0.408248290463863
479,95,987,0.408248290463863
480,96,96,1.0000000000000002
481,96,88,0.408248290463863
482,96,1112,0.408248290463863
483,96,83,0.3333333333333334
484,96,519,0.3333333333333334
485,97,97,1.0
486,97,892,0.8660254037844388
487,97,854,0.5773502691896258
488,97,917,0.5773502691896258
489,97,1887,0.5773502691896258
490,98,98,1.0000000000000002
491,98,833,0.8660254037844388
492,98,1097,0.408248290463863
493,98,1478,0.3333333333333334
494,98,0,0.0
495,99,99,1.0000000000000002
496,99,122,0.6666666666666669
497,99,283,0.6666666666666669
498,99,60,0.5773502691896258
499,99,247,0.5773502691896258
500,100,100,0.9999999999999998
501,100,882,0.9999999999999998
502,100,145,0.4999999999999999
503,100,186,0.4999999999999999
504,100,203,0.4999999999999999
505,101,101,0.9999999999999998
506,101,870,0.9999999999999998
507,101,2,0.4999999999999999
508,101,9,0.4999999999999999
509,101,16,0.4999999999999999
510,102,102,0.9999999999999998
511,102,910,0.816496580927726
512,102,1350,0.4999999999999999
513,102,663,0.408248290463863
514,102,827,0.408248290463863
515,103,103,0.9999999999999998
516,103,886,0.9999999999999998
517,103,33,0.4999999999999999
518,103,34,0.4999999999999999
519,103,41,0.4999999999999999
520,104,104,1.0000000000000002
521,104,215,0.6666666666666669
522,104,341,0.6666666666666669
523,104,421,0.6666666666666669
524,104,568,0.6666666666666669
525,105,105,0.9999999999999998
526,105,958,0.9999999999999998
527,105,2,0.4999999999999999
528,105,9,0.4999999999999999
529,105,16,0.4999999999999999
530,106,106,1.0000000000000002
531,106,670,0.3333333333333334
532,106,840,0.3333333333333334
533,106,1405,0.3333333333333334
534,106,1676,0.3333333333333334
535,107,107,1.0000000000000002
536,107,940,1.0000000000000002
537,107,178,0.6666666666666669
538,107,1166,0.6666666666666669
539,107,1171,0.6666666666666669
540,108,108,1.0000000000000002
541,108,964,0.816496580927726
542,108,495,0.6666666666666669
543,108,765,0.6666666666666669
544,108,832,0.6666666666666669
545,109,109,1.0
546,109,14,0.35355339059327373
547,109,17,0.35355339059327373
548,109,81,0.35355339059327373
549,109,139,0.35355339059327373
550,110,110,0.9999999999999998
551,110,33,0.4999999999999999
552,110,34,0.4999999999999999
553,110,41,0.4999999999999999
554,110,50,0.4999999999999999
555,111,111,0.9999999999999998
556,111,976,0.9999999999999998
557,111,33,0.4999999999999999
558,111,34,0.4999999999999999
559,111,41,0.4999999999999999
560,112,112,1.0000000000000002
561,112,939,1.0000000000000002
562,112,228,0.6666666666666669
563,112,1257,0.5773502691896258
564,112,2,0.408248290463863
565,113,113,1.0000000000000002
566,113,957,1.0000000000000002
567,113,237,0.408248290463863
568,113,963,0.408248290463863
569,113,1472,0.408248290463863
570,114,114,1.0
571,114,0,0.0
572,114,1,0.0
573,114,2,0.0
574,114,3,0.0
575,115,115,1.0000000000000002
576,115,1128,1.0000000000000002
577,115,1129,0.6666666666666669
578,115,2,0.408248290463863
579,115,9,0.408248290463863
580,116,116,1.0000000000000002
581,116,642,1.0000000000000002
582,116,1149,0.4714045207910318
583,116,33,0.408248290463863
584,116,34,0.408248290463863
585,117,117,1.0000000000000002
586,117,80,0.6666666666666669
587,117,524,0.6666666666666669
588,117,1650,0.6666666666666669
589,117,1884,0.5773502691896258
590,118,118,0.9999999999999998
591,118,175,0.4999999999999999
592,118,177,0.4999999999999999
593,118,211,0.4999999999999999
594,118,242,0.4999999999999999
595,119,119,0.9999999999999998
596,119,2,0.4999999999999999
597,119,9,0.4999999999999999
598,119,16,0.4999999999999999
599,119,51,0.4999999999999999
600,120,120,0.9999999999999998
601,120,0,0.0
602,120,1,0.0
603,120,2,0.0
604,120,3,0.0
605,121,121,1.0000000000000002
606,121,1227,0.5773502691896258
607,121,33,0.408248290463863
608,121,34,0.408248290463863
609,121,41,0.408248290463863
610,122,122,1.0000000000000002
611,122,99,0.6666666666666669
612,122,283,0.6666666666666669
613,122,60,0.5773502691896258
614,122,247,0.5773502691896258
615,123,123,0.9999999999999998
616,123,136,0.4999999999999999
617,123,1562,0.4999999999999999
618,123,122,0.408248290463863
619,123,970,0.35355339059327373
620,124,124,1.0
621,124,834,0.5773502691896258
622,124,1482,0.5773502691896258
623,124,1254,0.5
624,124,33,0.35355339059327373
625,125,125,0.9999999999999998
626,125,396,0.35355339059327373
627,125,0,0.0
628,125,1,0.0
629,125,2,0.0
630,126,126,1.0000000000000002
631,126,2,0.408248290463863
632,126,9,0.408248290463863
633,126,16,0.408248290463863
634,126,51,0.408248290463863
635,127,127,0.9999999999999998
