Name,Campsite,Address
YH,挪亞星舟露營農莊,新竹縣新埔鎮鹿鳴里4鄰黃梨園28-15號(map直接搜尋名稱即可)
YH,空軍一號,新竹縣五峰鄉花園村天湖219-17號
YH,雷沙達岜斯,新竹縣尖石鄉義興村6鄰馬胎4號
YH,綠宥子甜柿果園露營區,新竹縣尖石鄉新樂村煤源10鄰65-3號
YH,輪園秘境,新竹縣五峰鄉花園村天湖219-1號
YH,大象露營地,新竹縣關西鎮仁安里拱子溝九鄰26號
YH,蘇珊藏美露營農場,新竹縣五峰鄉桃山村清泉17鄰296-28號
YH,高台山露營區,新竹縣尖石鄉錦屏村7鄰那羅26號(Google map搜尋營區名字即可抵達)
YH,小尖石露營區,新竹縣尖石鄉新樂村拉號部落(120縣道35k處右轉產業道路約600公尺)
YH,梅花天湖農園,新竹縣尖石鄉梅花村8鄰227號
YH,梅花山莊,新竹縣尖石鄉梅花村6鄰148號
YH,喜嵐田園露營區,新竹縣尖石鄉錦屏村那羅12鄰205之1號
YH,馬美欣欣營地,新竹縣尖石鄉玉峰村馬美8鄰29-1號
YH,楠桂坊露營區,新竹縣五峰鄉竹林村和平154-1號
YH,KT露營區,新竹縣五峰鄉花園村8鄰168-1號(竹59與62並不相通請留意)
YH,馬月台露營區,新竹縣尖石鄉義興村7鄰馬胎21-6號(竹59線終點就到)
YH,臻美營地,新竹縣尖石鄉新樂村煤源段8鄰36-2號 (竹120縣道40.5K處)(八五山大橋頭前右轉約700m)
YH,馬胎仙境,新竹縣尖石鄉義興村馬胎108-2號(馬胎部落)
YH,怡然自德,新竹縣尖石鄉梅花村8鄰(竹62線12.3K處)
YH,月伴灣露營區,新竹縣尖石鄉錦屏村10鄰那羅116-1號 (google map搜尋即可)
YH,熊麻吉親子露營區,新竹縣尖石鄉錦屏村那羅209號
YH,溪遊記露營區,導航至嘉興國小義興分校後關導航，再依路邊標示前來 (竹59過5.5K後繼續走300m，右邊岔路走到底)，如下圖
YH,印象尖石露營區,新竹縣尖石鄉新樂村煤源8鄰(竹120線36.6K處左轉)
YH,露營樂3號店,新竹縣尖石鄉新樂村(竹120縣道40.5K處)(先到臻美營地後依指示到達)
YH,愛上天湖,新竹縣五峰鄉花園村9鄰196-2號
YH,星院露營區,新竹縣北埔鄉大湖村下大湖10鄰
YH,景色天地露營區,從內灣老街導航至營區，沿途有指標(天湖方向道路封閉)
YH,尤瑪山莊,新竹縣五峰鄉大隘村23鄰471號
YH,玉峰 泰里埔露營區,新竹縣尖石鄉玉峰村3鄰24號(近鄉道60線19處)
YH,明園星空營地,"新埔鎮鹿鳴里黃梨園52-20號(請導航座標：24.856448,121.135753)"
YH,愛上天湖,新竹縣五峰鄉花園村9鄰196-2號 (Map搜尋愛上天湖，即可到達)
