,Name,Campsite,Address,Similar_idx,Name_similar,Campsite_similar,Campsite_ratio,Address_similar,Address_ratio
450,Shelly,諾亞方舟露營區,923屏東縣萬巒鄉東興路58之3號,1299,Shelly,挪亞方舟露營區,92.3076923076923,844高雄市六龜區和平路130之5號,27.27272727272727
451,Shelly,櫻之谷露營區,848高雄市桃源區南橫公路三段東莊巷30之6號,1009,Shelly,鷹谷露營區,88.88888888888889,977花蓮縣豐濱鄉Unnamed Road,0.0
452,Shelly,好柿抵嘉農場,602嘉義縣番路鄉埔尾52之3號,218,Shelly,大棟農場,66.66666666666667,No. 1之7號 雪山路和平區台中市424,16.666666666666664
453,Shelly,岩仔腳休閒露營區（狩獵帳）,602嘉義縣番路鄉,53,Shelly,合興休閒營區,66.66666666666667,555南投縣魚池鄉華龍巷73-1號,22.22222222222222
454,Shelly,花田小露露營區,602嘉義縣番路鄉觸口村埔尾 2號,603,Shelly,露樹露營區,88.88888888888889,262001宜蘭縣礁溪鄉白石腳路101號,27.586206896551722
455,Shelly,淺山尋露,602嘉義縣番路鄉阿里山公路47.5號公里處,332,Shelly,嚮露,66.66666666666667,844高雄市六龜區土壠149之10號,15.384615384615385
456,Shelly,晨光露營區(狩獵帳),60594嘉義縣阿里山鄉2鄰86號,532,Shelly,阿里山螢火蟲露營區(狩獵帳),88.88888888888889,604嘉義縣竹崎鄉笨仔遊憩區,54.54545454545454
457,Shelly,來灣哈露營區,605嘉義縣阿里山鄉四鄰125-1號,537,Shelly,來灣哈露營區(B區),100.0,129嘉義縣605,50.0
458,Shelly,草地狀元露營區,602嘉義縣番路鄉：159甲26.5K处號,294,Shelly,珊瑚潭草地露營區,83.33333333333334,720台南市官田區,18.181818181818176
459,Shelly,阿里山草堂露營渡假村(露營樂9號店),60245嘉義縣番路鄉茶科 159甲線道26k,1310,Eta,阿里曼山莊,75.0,南投縣信義鄉,33.333333333333336
460,Shelly,阿里山·倉伯露營區,No. 129-11 號 四鄰 阿里山鄉嘉義縣605,299,Shelly,露舍營家露營區,60.0,845高雄市內門區,19.999999999999996
461,Shelly,太和觀光果園露營區,603嘉義縣梅山鄉樟樹湖17號,299,Shelly,露舍營家露營區,60.0,845高雄市內門區,0.0
462,Shelly,夕落山居露營區,602嘉義縣番路鄉,202,Shelly,圓緣山居—露營區,76.92307692307692,423台中市東勢區東崎路三段688巷100弄19號,22.22222222222222
463,Shelly,杉緣星空露營區,605嘉義縣阿里山鄉8鄰205號,1481,Eta,星空下露營區,90.9090909090909,新竹縣五峰鄉,33.333333333333336
464,Shelly,吉恩典山丘露營區,608嘉義縣水上鄉三界埔段532-4地號,1408,Eta,吉恩典山丘,100.0,嘉義縣水上鄉三界埔段532-4地號,100.0
465,Shelly,星月傳說露營區,602嘉義縣番路鄉,840,Shelly,觀星賞月露營區,76.92307692307692,313001新竹縣尖石鄉,35.29411764705882
466,Shelly,達邦村受不寮露營區,605嘉義縣阿里山鄉,299,Shelly,露舍營家露營區,60.0,845高雄市內門區,16.666666666666664
467,Shelly,拾野 • 拾光 – 阿里山高美露營區｜Shiye • Shiguang – Alishan GaoMei Camping Area｜車泊｜自搭帳｜阿里山懶人露營｜小區包帳｜,605嘉義縣阿里山鄉,48,Shelly,山見懶人露營,83.33333333333334,555南投縣魚池鄉通文巷54號對面號,31.57894736842105
468,Shelly,瑞里雲淡風輕露營區,603嘉義縣梅山鄉15號附1,1106,Shelly,風露營,66.66666666666667,365苗栗縣泰安鄉馬那邦64號,28.57142857142857
469,Shelly,星知心露營區,嘉義縣番路鄉602,957,Shelly,遠見之星露營區,80.0,336桃園市復興區中心路86 巷28 號,33.333333333333336
