region,county_name,address,total_rank,total_comments_count,altitude,campground_emo_geo_ID,campground_ID,camping_site_name,campground_category,hot,negative_ratio,positive_ratio,hot_but_negative,latitude,longitude,count
北區,新北市,新北市金山區三重橋22號,4.1,1196,,873,1121,綠峰渡假山莊,差評,Hot,0.33,0.67,,25.221883,121.6361852,1
北區,新北市,新北市坪林區石槽50號,4.3,466,,876,1124,綠野山林 (成家營地),普通,Hot,0.23,0.77,,24.937388,121.711185,1
北區,新北市,新北市瑞芳區,4.3,68,,905,1153,自在草堂露營車改裝,普通,,0.17,0.83,,25.1089107,121.8097683,1
北區,新北市,新北市坪林區坪雙路一段102號,4.3,42,,929,1177,茶香地營地,普通,,0.18,0.82,,24.937388,121.711185,1
北區,新北市,新北市坪林區,3.8,20,,930,1178,茶香村之旅露營區,差評,,0.22,0.78,,24.937388,121.711185,1
北區,新北市,新北市金山區兩湖里2鄰,4.1,514,,949,1197,葵扇湖休閒農場,差評,Hot,0.15,0.85,,25.221883,121.6361852,1
北區,新北市,新北市坪林區,4.3,83,,953,1201,蕃米力親子營地(原月牙灣),普通,,0.17,0.83,,24.937388,121.711185,1
北區,新北市,新北市三峽區號,4.7,44,,1000,1248,車床天地,普通,,0.1,0.9,,24.9343387,121.368905,1
北區,新北市,新北市烏來區金堰115巷10之1號,4.7,53,,1008,1256,迴山里 GLAMPING,普通,,0.05,0.95,,24.8639758,121.5512547,1
北區,新北市,新北市金山區仔5-2號,4.4,752,,1052,1300,金山驛境 Gold Mountain Ranch Town,普通,Hot,0.26,0.74,,25.221883,121.6361852,1
北區,新北市,新北市坪林區金瓜寮19之1號,4.4,312,,1060,1308,鐵馬新樂園,普通,Hot,0.08,0.92,,24.937388,121.711185,1
北區,新北市,新北市新店區新潭路二段25號,3.8,311,,1063,1311,長青谷大自然園區,差評,Hot,0.58,0.42,熱門但負評比例超過50%,24.9673935,121.5419418,1
北區,新北市,新北市坪林區48之1號,4.2,32,,1123,1371,青山營地,,,0.17,0.83,,24.937388,121.711185,1
北區,新北市,新北市烏來區,5.0,1,650.0,1128,1376,頭目山水,好評,,0.29,0.71,,24.8639758,121.5512547,1
北區,新北市,新北市雙溪區過溪3-1號,4.6,46,,1170,1418,黑金大閘蟹的家,普通,,0.11,0.89,,25.033409,121.865676,1
北區,新北市,新北市貢寮區興隆街100號,3.9,1699,,1175,1423,龍門露營渡假基地,差評,Hot,0.24,0.76,,25.0220426,121.9100822,1
北區,基隆市,基隆市暖暖區東勢街221號,4.2,1848,,137,384,LAPOPO 拉波波村,,Hot,0.18,0.82,,25.1002604,121.7359893,1
北區,桃園市,桃園市復興區三光里爺亨段410地號,4.7,154,570.0,12,36,利河伯休閒農園露營區,普通,,0.07,0.93,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區華陵里中心路86巷11號,4.7,28,1400.0,16,51,古渡園地,普通,,0.04,0.96,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.6,58,400.0,22,62,和平橋露營區,普通,,0.07,0.93,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區奎輝里8鄰嘎色鬧23號,4.5,187,710.0,25,70,蜻蜓露營區-嘎色鬧,普通,,0.08,0.92,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區羅浮里羅馬路一段301之6號,4.2,165,500.0,27,75,培雅境休閒露營區,,,0.28,0.72,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.8,57,1500.0,35,102,尹宿納,好評,,0.02,0.98,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區7鄰1之12號,3.3,59,430.0,40,111,山豬王露營區,差評,,0.52,0.48,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.5,266,950.0,43,121,庫司景觀露營區,普通,Hot,0.13,0.87,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區華陵里巴崚8鄰55之2號,4.4,102,959.0,45,126,得拉互,普通,,0.12,0.88,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區高義里七鄰10之3號,4.4,215,1430.0,48,142,戀戀雅渡農場,普通,,0.12,0.88,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.7,114,400.0,55,165,木河谷,普通,,0.07,0.93,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區中心路86巷,4.8,27,1400.0,58,168,杉與山露營區,好評,,0.09,0.91,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區中心路華陵里148號,4.2,215,1500.0,62,176,桃子菇菇休閒農莊,,,0.25,0.75,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區高義蘭道路65之7號,4.7,195,950.0,68,197,歐陽莊園,普通,,0.03,0.97,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區高義村,4.5,268,914.0,70,199,比固花園,普通,Hot,0.18,0.82,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區華陵里8鄰40號,4.3,105,1400.0,72,211,清清露營區,普通,,0.23,0.77,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.5,60,570.0,76,223,爺亨溪岸,普通,,0.11,0.89,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區2號,5.0,42,560.0,83,247,米利漾,好評,,0.0,1.0,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區三光里爺亨35-1號,4.2,196,1050.0,100,326,露薩休閒露營區,,,0.29,0.71,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區霞雲里5鄰成福路559號,4.0,233,850.0,103,335,飛督努露營區,差評,Hot,0.24,0.76,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區武崙路33號,4.6,16,700.0,108,344,高崗露營區,普通,,0.13,0.87,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區高義蘭道路65-9號,4.3,188,,129,376,Colin 亞力山大露營區,普通,,0.11,0.89,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區16號,4.8,185,,133,380,Hola吼辣露營農場,好評,,0.03,0.97,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.9,72,,167,414,一號地露營區,好評,,0.03,0.97,,24.8153769,121.351898,1
